timestamp	follow	status	friend	text
1476760420810	3623	25242	3416	"""At Evan McMullin's "African American Voter Values Town Hall" in Atlanta... there is a very diverse crowd here... https://t.co/T8XzNQhuQm"""
1476760431253	3012	7412	268	"""@realDonaldTrump @jheil @bpolitics  https://t.co/UxZMX0g5nA"""
1476760436301	11757	32901	11470	"""@4nconsulting @jko417 @CarmineZozzora @jimlibertarian Speaking of national polling, how is McMullin doing?"""
1476760438842	1175	2730	277	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760456581	176	11258	229	"""@jennifer_spreng @GovGaryJohnson @BenSasse Exactly.  I'm a longtime R-leaning L, and this stuff + the McMullin nonsense has made Rs no-go."""
1476760459344	7161	242085	7555	"""RT @mkhammer: It's just a fact. Do you not know how the Electoral College works? https://t.co/td0XuajFPT https://t.co/t6GxlgiiQc"""
1476760460895	21	254	72	"""@o_crux_ave seeing your interest in McMullin, 100% GOP, have you looked @AmSolidarity https://t.co/Amc070uqHX"""
1476760466238	1328	16546	818	"""@TimothyODonnel2 I'm also voting McMullin. But I have no illusions McMullin can win. It's a Hail Mary. Hillary losing has better odds."""
1476760470440	2627	45720	3810	"""RT @JustThinkWonder: Thank you @glennbeck for giving #EvanMcMullin some of your airtime.  #AnyThingCouldHappen !  It's Never Too Late To """
1476760470559	38	1734	84	"""Thia is kind of awesome thinking... https://t.co/SYxDH3PQSy"""
1476760481486	726	14045	677	"""Another difficulty is that no other state is socially reinforced as Utah. McMullin popularity can rise fast w/more https://t.co/5y5m7e8AKC"""
1476760482007	261	2790	311	"""TOTAL .@FoxNews BULLSHIT  https://t.co/hk2nV6Vqnt   READ REAL POLL HERE TRUMP UP +17. https://t.co/6PdvcdcPzW  #ANONYMOUS #BIGLEAGUETRUTH"""
1476760482609	76	2254	191	"""https://t.co/OoiHPjFk5O Evan McMullin via MSNBC"""
1476760485204	208	4484	247	"""RT @1Coolness: Nice job @Evan_McMullin. Stay the course! Cool but firm. You've got this! #McMullinFinn #McMullin  https://t.co/sHciX1nENM"""
1476760488305	153	2333	525	"""RT @TDennis17: Wha, egg head at that level?  Gotta be double counting his votes https://t.co/rKg9nrhqUi"""
1476760520479	1019	17333	1245	"""RT @gary4205: @ChuckNellis Evan McMullin is about to win Utah. Everyone needs to vote McMullin/Finn! @Conservamator @bulldog338"""
1476760523796	95	4602	273	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760526410	1518	4167	2803	"""Evan McMullin was listed on Clinton Foundation donor list and I don't like Egg McMuffins....hmmmm hard one to choos https://t.co/DaxzEaHv3W"""
1476760527669	377	10223	595	"""Updated one hour ago. Looks real to me! https://t.co/b9Zu2mxqiK"""
1476760527651	3846	58115	1040	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760531110	332	9041	232	"""RT @Evan_McMullin: The polls are showing what we already knew: principled Americans are excited to support a better choice. #utpol """
1476760542492	8	41	31	"""RT @Evan_McMullin: The polls are showing what we already knew: principled Americans are excited to support a better choice. #utpol """
